,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-kurilsk,50.68,156.12,49.39,62.0,9.0,10.36,RU,06/27/20
1,bredasdorp,-34.53,20.04,59.0,87.0,53.0,21.92,ZA,06/27/20
2,albany,42.6,-73.97,66.0,74.0,95.0,3.89,US,06/27/20
3,rikitea,-23.12,-134.97,72.21,79.0,15.0,13.18,PF,06/27/20
4,kruisfontein,-34.0,24.73,67.73,31.0,0.0,15.21,ZA,06/27/20
5,chokurdakh,70.63,147.92,50.49,46.0,11.0,15.46,RU,06/27/20
6,grand-lahou,5.14,-5.02,78.4,83.0,81.0,14.27,CI,06/27/20
7,kapaa,22.08,-159.32,78.8,78.0,90.0,11.41,US,06/27/20
8,victoria,22.29,114.16,86.0,70.0,98.0,5.99,HK,06/27/20
9,puerto ayora,-0.74,-90.35,69.01,93.0,54.0,1.99,EC,06/27/20
10,saskylakh,71.92,114.08,59.9,56.0,24.0,14.36,RU,06/27/20
11,mbandaka,0.05,18.26,87.71,49.0,31.0,2.62,CD,06/27/20
12,searcy,35.25,-91.74,73.4,94.0,90.0,6.64,US,06/27/20
13,makokou,0.57,12.86,88.09,53.0,26.0,1.9,GA,06/27/20
14,arraial do cabo,-22.97,-42.03,69.8,88.0,0.0,3.36,BR,06/27/20
15,ostrovnoy,68.05,39.51,44.74,90.0,100.0,20.6,RU,06/27/20
16,egvekinot,66.32,-179.17,30.61,96.0,100.0,2.51,RU,06/27/20
17,arlit,18.74,7.39,108.21,7.0,11.0,10.54,NE,06/27/20
18,saint-philippe,-21.36,55.77,78.8,61.0,27.0,6.93,RE,06/27/20
19,carnarvon,-24.87,113.63,69.8,88.0,90.0,5.82,AU,06/27/20
20,naze,28.37,129.48,80.6,94.0,97.0,8.05,JP,06/27/20
21,san juan,-31.54,-68.54,39.87,69.0,18.0,4.0,AR,06/27/20
22,tandalti,13.02,31.87,98.38,26.0,21.0,5.14,SD,06/27/20
23,port alfred,-33.59,26.89,74.44,25.0,0.0,23.51,ZA,06/27/20
24,tasiilaq,65.61,-37.64,42.8,93.0,75.0,4.7,GL,06/27/20
25,port elizabeth,-33.92,25.57,69.8,25.0,0.0,18.34,ZA,06/27/20
26,amberley,39.2,-84.43,73.99,88.0,90.0,6.93,US,06/27/20
27,atar,20.52,-13.05,108.25,9.0,14.0,15.5,MR,06/27/20
28,pandan,14.05,124.17,82.74,78.0,100.0,9.46,PH,06/27/20
29,cidreira,-30.18,-50.21,55.02,65.0,100.0,5.95,BR,06/27/20
30,orchard homes,46.86,-114.05,60.8,67.0,20.0,3.36,US,06/27/20
31,thompson,55.74,-97.86,53.6,100.0,75.0,2.24,CA,06/27/20
32,birin,26.89,88.07,68.97,100.0,93.0,1.3,NP,06/27/20
33,yaan,7.38,8.57,85.55,67.0,89.0,7.02,NG,06/27/20
34,barrow,71.29,-156.79,35.6,93.0,1.0,8.05,US,06/27/20
35,mataura,-46.19,168.86,39.0,83.0,89.0,3.0,NZ,06/27/20
36,provideniya,64.38,-173.3,41.56,71.0,44.0,22.59,RU,06/27/20
37,berlevag,70.86,29.09,43.97,85.0,100.0,17.63,NO,06/27/20
38,ushuaia,-54.8,-68.3,33.8,86.0,75.0,23.04,AR,06/27/20
39,hilo,19.73,-155.09,75.2,83.0,90.0,4.68,US,06/27/20
40,monywa,22.12,95.13,90.3,55.0,80.0,12.03,MM,06/27/20
41,jamestown,42.1,-79.24,66.0,100.0,90.0,9.17,US,06/27/20
42,punta arenas,-53.15,-70.92,33.8,69.0,0.0,8.05,CL,06/27/20
43,gunjur,13.2,-16.73,71.6,100.0,40.0,20.8,GM,06/27/20
44,jumla,29.27,82.18,77.0,92.0,36.0,4.47,NP,06/27/20
45,mangrol,21.12,70.12,88.88,66.0,98.0,11.99,IN,06/27/20
46,opuwo,-18.06,13.84,77.65,17.0,0.0,12.73,NA,06/27/20
47,kirakira,-10.45,161.92,79.09,83.0,1.0,8.3,SB,06/27/20
48,solnechnyy,50.72,136.63,58.39,77.0,73.0,1.97,RU,06/27/20
49,butaritari,3.07,172.79,82.36,82.0,72.0,18.19,KI,06/27/20
50,half moon bay,37.46,-122.43,62.01,82.0,90.0,3.36,US,06/27/20
51,camara de lobos,32.63,-16.97,75.2,64.0,75.0,16.11,PT,06/27/20
52,makakilo city,21.35,-158.09,77.0,78.0,1.0,4.7,US,06/27/20
53,alofi,-19.06,-169.92,73.4,83.0,93.0,4.7,NU,06/27/20
54,kupang,-10.17,123.58,78.8,74.0,20.0,13.87,ID,06/27/20
55,kavaratti,10.57,72.64,83.35,77.0,100.0,24.0,IN,06/27/20
56,clyde river,70.47,-68.59,42.8,87.0,1.0,2.24,CA,06/27/20
57,nador,35.17,-2.93,87.8,26.0,0.0,14.99,MA,06/27/20
58,avarua,-21.21,-159.78,68.0,88.0,20.0,8.05,CK,06/27/20
59,saint anthony,45.02,-93.22,66.2,82.0,1.0,2.13,US,06/27/20
60,east london,-33.02,27.91,75.2,29.0,0.0,5.82,ZA,06/27/20
61,hithadhoo,-0.6,73.08,84.78,73.0,94.0,6.69,MV,06/27/20
62,chato,-2.64,31.77,81.37,42.0,20.0,8.99,TZ,06/27/20
63,busselton,-33.65,115.33,57.99,78.0,37.0,16.91,AU,06/27/20
64,tautira,-17.73,-149.15,75.2,73.0,75.0,11.41,PF,06/27/20
65,dikson,73.51,80.55,39.49,92.0,100.0,20.6,RU,06/27/20
66,narsaq,60.92,-46.05,42.8,87.0,75.0,6.93,GL,06/27/20
67,mar del plata,-38.0,-57.56,43.0,93.0,90.0,4.7,AR,06/27/20
68,krasnyy oktyabr,56.12,38.88,82.47,41.0,9.0,12.97,RU,06/27/20
69,castro,-24.79,-50.01,49.86,96.0,100.0,9.78,BR,06/27/20
70,geraldton,-28.77,114.6,62.6,88.0,75.0,8.05,AU,06/27/20
71,nemuro,43.32,145.57,50.74,97.0,100.0,14.52,JP,06/27/20
72,beringovskiy,63.05,179.32,39.18,79.0,90.0,7.92,RU,06/27/20
73,zhigansk,66.77,123.37,76.32,47.0,64.0,3.51,RU,06/27/20
74,sinop,41.77,34.87,72.23,57.0,0.0,9.04,TR,06/27/20
75,bluff,-46.6,168.33,39.0,83.0,99.0,3.0,NZ,06/27/20
76,bethel,41.37,-73.41,66.0,82.0,1.0,2.62,US,06/27/20
77,zhangye,38.93,100.45,66.56,50.0,97.0,9.6,CN,06/27/20
78,dunedin,-45.87,170.5,48.99,95.0,99.0,1.01,NZ,06/27/20
79,cape town,-33.93,18.42,60.8,87.0,75.0,28.86,ZA,06/27/20
80,georgetown,5.41,100.34,86.0,79.0,20.0,6.93,MY,06/27/20
81,berezovyy,51.67,135.7,60.33,74.0,48.0,3.0,RU,06/27/20
82,labuhan,-6.88,112.21,79.65,79.0,1.0,6.62,ID,06/27/20
83,hobart,-42.88,147.33,41.0,86.0,38.0,5.82,AU,06/27/20
84,tuktoyaktuk,69.45,-133.04,33.37,94.0,100.0,15.32,CA,06/27/20
85,eenhana,-17.47,16.33,80.6,15.0,0.0,8.05,NA,06/27/20
86,pisco,-13.7,-76.22,61.0,93.0,90.0,5.82,PE,06/27/20
87,saint george,37.1,-113.58,75.2,23.0,1.0,6.93,US,06/27/20
88,belen,36.49,36.22,91.4,43.0,5.0,17.22,TR,06/27/20
89,srednekolymsk,67.45,153.68,53.92,42.0,29.0,8.95,RU,06/27/20
90,roald,62.58,6.13,77.0,57.0,0.0,5.82,NO,06/27/20
91,katherine,-14.47,132.27,71.6,43.0,95.0,6.93,AU,06/27/20
92,limoges,45.75,1.33,73.0,64.0,75.0,8.05,FR,06/27/20
93,caravelas,-17.71,-39.25,77.0,75.0,52.0,7.72,BR,06/27/20
94,paranaiba,-19.68,-51.19,70.88,81.0,7.0,8.55,BR,06/27/20
95,fukue,32.69,128.84,75.2,94.0,75.0,8.05,JP,06/27/20
96,torbay,47.67,-52.73,64.99,82.0,90.0,4.7,CA,06/27/20
97,airai,-8.93,125.41,56.8,100.0,100.0,3.4,TL,06/27/20
98,sisimiut,66.94,-53.67,44.96,77.0,99.0,5.21,GL,06/27/20
99,nikolskoye,59.7,30.79,78.8,39.0,0.0,15.66,RU,06/27/20
100,bousse,12.66,-1.89,87.8,52.0,20.0,11.41,BF,06/27/20
101,yerbogachen,61.28,108.01,74.08,56.0,22.0,3.44,RU,06/27/20
102,sao filipe,14.9,-24.5,75.0,77.0,40.0,5.01,CV,06/27/20
103,ilulissat,69.22,-51.1,33.8,100.0,90.0,4.7,GL,06/27/20
104,manbij,36.53,37.95,95.0,19.0,0.0,5.82,SY,06/27/20
105,newport,51.59,-3.0,66.0,88.0,44.0,3.0,GB,06/27/20
106,ayagoz,47.97,80.44,78.19,23.0,100.0,29.62,KZ,06/27/20
107,slantsy,59.12,28.09,81.43,37.0,50.0,6.6,RU,06/27/20
108,venado tuerto,-33.75,-61.97,36.0,89.0,59.0,3.0,AR,06/27/20
109,bogalusa,30.79,-89.85,80.6,88.0,90.0,3.36,US,06/27/20
110,vaini,-21.2,-175.2,73.4,94.0,20.0,3.36,TO,06/27/20
111,mackay,-21.15,149.2,62.6,88.0,75.0,5.82,AU,06/27/20
112,najran,17.49,44.13,102.2,16.0,20.0,6.93,SA,06/27/20
113,tiznit,29.58,-9.5,88.77,22.0,12.0,7.58,MA,06/27/20
114,leningradskiy,69.38,178.42,32.4,97.0,100.0,10.98,RU,06/27/20
115,velsk,61.07,42.1,66.4,48.0,83.0,14.61,RU,06/27/20
116,hermanus,-34.42,19.23,59.0,83.0,97.0,15.01,ZA,06/27/20
117,sumbawanga,-7.97,31.62,73.9,40.0,50.0,5.35,TZ,06/27/20
118,vila velha,-20.33,-40.29,75.0,82.0,20.0,2.24,BR,06/27/20
119,ramachandrapuram,16.85,82.02,90.63,59.0,85.0,8.63,IN,06/27/20
120,vardo,70.37,31.11,48.2,76.0,75.0,16.11,NO,06/27/20
121,camabatela,-8.19,15.38,87.94,17.0,79.0,1.07,AO,06/27/20
122,ranong,9.97,98.63,86.0,74.0,40.0,5.82,TH,06/27/20
123,tammisaari,59.97,23.43,82.99,37.0,0.0,1.01,FI,06/27/20
124,ribeira grande,38.52,-28.7,69.8,88.0,75.0,5.82,PT,06/27/20
125,caruray,10.31,119.01,82.4,83.0,90.0,4.7,PH,06/27/20
126,mount isa,-20.73,139.5,64.4,23.0,0.0,8.05,AU,06/27/20
127,flinders,-34.58,150.86,48.99,77.0,39.0,1.99,AU,06/27/20
128,perth,-31.93,115.83,61.0,87.0,40.0,9.17,AU,06/27/20
129,zhangjiakou,40.81,114.88,78.93,31.0,3.0,6.64,CN,06/27/20
130,deputatskiy,69.3,139.9,69.44,52.0,12.0,9.98,RU,06/27/20
131,ponta do sol,32.67,-17.1,72.0,63.0,6.0,10.0,PT,06/27/20
132,laguna,38.42,-121.42,66.99,72.0,1.0,8.05,US,06/27/20
133,upernavik,72.79,-56.15,37.94,86.0,89.0,4.63,GL,06/27/20
134,nelson bay,-32.72,152.15,51.8,93.0,75.0,8.05,AU,06/27/20
135,touros,-5.2,-35.46,75.2,88.0,75.0,8.05,BR,06/27/20
136,norman wells,65.28,-126.83,53.6,87.0,75.0,6.93,CA,06/27/20
137,dourbali,11.81,15.86,94.26,38.0,31.0,3.91,TD,06/27/20
138,karmala,18.42,75.2,90.86,49.0,100.0,5.08,IN,06/27/20
139,kristianstad,56.03,14.15,78.01,57.0,12.0,10.29,SE,06/27/20
140,chokwe,-24.53,32.98,82.81,22.0,0.0,7.92,MZ,06/27/20
141,luang prabang,19.89,102.13,91.4,63.0,40.0,4.7,LA,06/27/20
142,ust-nera,64.57,143.2,70.38,45.0,90.0,0.92,RU,06/27/20
143,naifaru,5.44,73.37,83.52,76.0,91.0,14.03,MV,06/27/20
144,gandorhun,7.5,-11.83,83.46,75.0,95.0,4.72,SL,06/27/20
145,kharsawan,22.8,85.83,77.0,100.0,75.0,9.17,IN,06/27/20
146,cabo san lucas,22.89,-109.91,82.99,69.0,99.0,3.0,MX,06/27/20
147,bay-khaak,51.17,94.5,77.77,38.0,3.0,2.59,RU,06/27/20
148,tahoua,14.89,5.27,95.0,41.0,3.0,9.17,NE,06/27/20
149,santander,43.46,-3.8,75.0,69.0,20.0,6.93,ES,06/27/20
150,virginia beach,36.85,-75.98,75.0,73.0,40.0,5.82,US,06/27/20
151,iquique,-20.22,-70.14,59.0,72.0,90.0,4.7,CL,06/27/20
152,la ciotat,43.17,5.6,89.01,63.0,3.0,4.0,FR,06/27/20
153,black river,18.03,-77.85,80.6,83.0,20.0,5.82,JM,06/27/20
154,esmeralda,21.85,-78.12,77.0,100.0,20.0,6.93,CU,06/27/20
155,riyadh,24.69,46.72,111.2,6.0,93.0,13.87,SA,06/27/20
156,kodiak,57.79,-152.41,44.6,70.0,1.0,3.36,US,06/27/20
157,priladozhskiy,59.85,31.48,78.8,39.0,0.0,15.66,RU,06/27/20
158,new milford,40.93,-74.02,75.99,68.0,1.0,5.01,US,06/27/20
159,talnakh,69.49,88.4,69.8,64.0,40.0,15.66,RU,06/27/20
160,nhulunbuy,-12.23,136.77,75.2,88.0,40.0,6.93,AU,06/27/20
161,faanui,-16.48,-151.75,76.77,77.0,25.0,15.97,PF,06/27/20
162,te anau,-45.42,167.72,43.32,86.0,88.0,2.08,NZ,06/27/20
163,poreba,50.49,19.34,81.0,50.0,20.0,14.99,PL,06/27/20
164,cabedelo,-6.98,-34.83,75.2,94.0,90.0,4.7,BR,06/27/20
165,maxcanu,20.58,-89.98,78.8,88.0,40.0,8.05,MX,06/27/20
166,takestan,36.07,49.7,86.0,35.0,0.0,9.17,IR,06/27/20
167,lorengau,-2.02,147.27,83.07,76.0,80.0,9.1,PG,06/27/20
168,coolum beach,-26.53,153.1,57.99,90.0,2.0,1.01,AU,06/27/20
169,bengkulu,-3.8,102.27,80.85,79.0,15.0,4.16,ID,06/27/20
170,castanheira do ribatejo,38.99,-8.97,73.4,69.0,75.0,6.93,PT,06/27/20
171,liepaja,56.54,21.04,82.4,45.0,62.0,9.17,LV,06/27/20
172,new norfolk,-42.78,147.06,39.99,91.0,28.0,2.19,AU,06/27/20
173,kaeo,-35.1,173.78,55.99,3.0,11.0,7.0,NZ,06/27/20
174,jijiga,9.35,42.8,75.15,53.0,95.0,18.92,ET,06/27/20
175,carahue,-38.7,-73.17,46.4,100.0,90.0,2.24,CL,06/27/20
176,kanlagay,5.88,121.29,78.24,90.0,85.0,16.04,PH,06/27/20
177,ahuimanu,21.44,-157.84,77.0,69.0,20.0,3.36,US,06/27/20
178,longyearbyen,78.22,15.64,41.0,75.0,75.0,11.41,SJ,06/27/20
179,pevek,69.7,170.31,30.79,99.0,98.0,24.43,RU,06/27/20
180,moroni,-11.7,43.26,86.0,66.0,20.0,13.87,KM,06/27/20
181,nanortalik,60.14,-45.24,40.48,88.0,99.0,2.82,GL,06/27/20
182,coquimbo,-29.95,-71.34,46.4,81.0,79.0,4.7,CL,06/27/20
183,hammerfest,70.66,23.68,42.8,93.0,75.0,20.8,NO,06/27/20
184,cap malheureux,-19.98,57.61,77.0,69.0,84.0,13.0,MU,06/27/20
185,iqaluit,63.75,-68.51,44.6,65.0,20.0,6.06,CA,06/27/20
186,puerto escondido,15.85,-97.07,78.62,76.0,96.0,3.87,MX,06/27/20
187,ukiah,39.15,-123.21,64.0,72.0,1.0,4.7,US,06/27/20
188,fortuna,40.6,-124.16,54.0,93.0,90.0,3.36,US,06/27/20
189,saldanha,-33.01,17.94,59.0,87.0,93.0,23.04,ZA,06/27/20
190,kachiry,53.07,76.1,71.83,55.0,31.0,12.46,KZ,06/27/20
191,luanda,-8.84,13.23,78.8,57.0,46.0,6.93,AO,06/27/20
192,maarianhamina,60.1,19.93,77.0,50.0,22.0,8.05,AX,06/27/20
193,codajas,-3.84,-62.06,79.41,76.0,2.0,0.76,BR,06/27/20
194,kahului,20.89,-156.47,73.0,83.0,2.0,5.01,US,06/27/20
195,atuona,-9.8,-139.03,80.15,77.0,12.0,11.1,PF,06/27/20
196,chenzhou,25.8,113.03,81.84,76.0,73.0,7.27,CN,06/27/20
197,harper,4.38,-7.72,78.89,78.0,89.0,12.06,LR,06/27/20
198,coruripe,-10.13,-36.18,79.21,73.0,3.0,9.86,BR,06/27/20
199,bedesa,8.9,40.78,80.01,34.0,38.0,3.38,ET,06/27/20
200,waddan,29.16,16.14,95.11,15.0,0.0,5.95,LY,06/27/20
201,gizo,-8.1,156.84,81.95,79.0,100.0,13.33,SB,06/27/20
202,esperance,-33.87,121.9,59.0,58.0,0.0,6.93,AU,06/27/20
203,sao jose da coroa grande,-8.9,-35.15,79.36,73.0,67.0,10.11,BR,06/27/20
204,poya,-21.35,165.15,64.74,73.0,1.0,5.03,NC,06/27/20
205,salalah,17.02,54.09,86.0,84.0,75.0,16.11,OM,06/27/20
206,rio gallegos,-51.62,-69.22,23.0,85.0,0.0,10.29,AR,06/27/20
207,ziro,27.63,93.83,80.6,94.0,90.0,1.12,IN,06/27/20
208,yar-sale,66.83,70.83,59.41,58.0,56.0,11.77,RU,06/27/20
209,khatanga,71.97,102.5,65.68,47.0,57.0,13.58,RU,06/27/20
210,lakatoro,-16.1,167.42,76.32,86.0,87.0,12.57,VU,06/27/20
211,berbera,10.44,45.01,99.46,31.0,80.0,9.46,SO,06/27/20
212,mitzic,0.78,11.55,82.58,61.0,77.0,3.02,GA,06/27/20
213,yellowknife,62.46,-114.35,57.99,100.0,20.0,2.24,CA,06/27/20
214,nizhnevartovsk,60.93,76.55,51.8,93.0,100.0,4.47,RU,06/27/20
215,lebu,-37.62,-73.65,49.08,91.0,87.0,9.44,CL,06/27/20
216,gusinoye ozero,51.11,106.26,68.68,72.0,99.0,6.24,RU,06/27/20
217,conde,-7.26,-34.91,75.2,94.0,90.0,4.7,BR,06/27/20
218,grindavik,63.84,-22.43,53.6,76.0,75.0,19.46,IS,06/27/20
219,tiksi,71.69,128.87,59.11,57.0,100.0,6.24,RU,06/27/20
220,belaya gora,68.53,146.42,63.79,36.0,50.0,14.76,RU,06/27/20
221,dingle,11.0,122.67,79.65,83.0,96.0,4.94,PH,06/27/20
222,maraa,-1.83,-65.37,75.29,95.0,53.0,1.79,BR,06/27/20
223,ekhabi,53.51,142.97,44.56,97.0,90.0,5.46,RU,06/27/20
224,albanel,48.88,-72.45,60.8,87.0,90.0,2.24,CA,06/27/20
225,hambantota,6.12,81.12,91.4,55.0,20.0,16.11,LK,06/27/20
226,sadovoye,47.78,44.51,83.16,29.0,0.0,2.82,RU,06/27/20
227,dalvik,65.97,-18.53,50.0,81.0,90.0,6.93,IS,06/27/20
228,lavrentiya,65.58,-171.0,39.31,83.0,97.0,13.53,RU,06/27/20
229,nome,64.5,-165.41,44.6,100.0,90.0,19.46,US,06/27/20
230,rakiv lis,51.62,24.92,79.25,62.0,31.0,12.06,UA,06/27/20
231,angoche,-16.23,39.91,79.34,64.0,3.0,6.06,MZ,06/27/20
232,chapais,49.78,-74.85,57.2,93.0,40.0,4.7,CA,06/27/20
233,tessalit,20.2,1.01,107.91,7.0,42.0,3.02,ML,06/27/20
234,bambous virieux,-20.34,57.76,77.0,94.0,75.0,10.29,MU,06/27/20
235,tukrah,32.53,20.58,81.14,55.0,0.0,13.24,LY,06/27/20
236,alice town,25.72,-79.3,82.67,81.0,39.0,15.73,BS,06/27/20
237,mirnyy,62.54,113.96,75.2,44.0,40.0,6.71,RU,06/27/20
238,maldonado,-34.67,-54.92,41.0,93.0,61.0,3.36,UY,06/27/20
239,road town,18.42,-64.62,84.99,79.0,20.0,9.17,VG,06/27/20
240,zamora,-4.07,-78.96,62.6,100.0,90.0,1.12,EC,06/27/20
241,ancud,-41.87,-73.82,44.01,100.0,90.0,3.36,CL,06/27/20
242,krasne,49.91,24.61,78.8,61.0,39.0,11.18,UA,06/27/20
243,arman,59.7,150.17,47.53,84.0,10.0,3.53,RU,06/27/20
244,cayenne,4.93,-52.33,77.0,100.0,75.0,0.92,GF,06/27/20
245,adrar,20.5,-10.07,109.56,6.0,15.0,21.9,MR,06/27/20
246,uruzgan,32.83,66.0,92.71,10.0,0.0,8.66,AF,06/27/20
247,constitucion,-35.33,-72.42,51.01,82.0,87.0,6.2,CL,06/27/20
248,workington,54.64,-3.54,63.0,89.0,100.0,8.99,GB,06/27/20
249,zhuhai,22.28,113.57,87.8,79.0,20.0,11.41,CN,06/27/20
250,viedma,-40.81,-63.0,38.3,77.0,78.0,5.08,AR,06/27/20
251,kaitangata,-46.28,169.85,50.0,86.0,83.0,3.0,NZ,06/27/20
252,qasigiannguit,68.82,-51.19,33.8,100.0,90.0,4.7,GL,06/27/20
253,aklavik,68.22,-135.01,44.6,81.0,75.0,8.05,CA,06/27/20
254,nisia floresta,-6.09,-35.21,75.2,88.0,75.0,8.05,BR,06/27/20
255,kijang,35.24,129.21,75.2,73.0,100.0,6.93,KR,06/27/20
256,huarmey,-10.07,-78.15,61.95,84.0,93.0,5.66,PE,06/27/20
257,codrington,-38.27,141.97,42.67,88.0,47.0,8.03,AU,06/27/20
258,sabalgarh,26.25,77.4,104.92,29.0,55.0,12.26,IN,06/27/20
259,dumfries,38.57,-77.33,73.4,78.0,20.0,4.7,US,06/27/20
260,tuy hoa,13.08,109.3,81.25,77.0,99.0,8.97,VN,06/27/20
261,vostok,46.49,135.88,50.79,96.0,100.0,2.59,RU,06/27/20
262,bubaque,11.28,-15.83,82.02,77.0,56.0,5.28,GW,06/27/20
263,vila,42.03,-8.16,66.0,93.0,99.0,8.99,PT,06/27/20
264,kamenka,51.32,42.77,81.0,40.0,0.0,3.0,RU,06/27/20
265,port lincoln,-34.73,135.87,55.45,56.0,0.0,6.69,AU,06/27/20
266,metro,-5.11,105.31,77.02,88.0,15.0,6.44,ID,06/27/20
267,zorritos,-3.68,-80.68,72.48,69.0,92.0,1.81,PE,06/27/20
268,lompoc,34.64,-120.46,57.2,93.0,90.0,4.7,US,06/27/20
269,mahebourg,-20.41,57.7,71.6,94.0,75.0,10.29,MU,06/27/20
270,westport,41.14,-73.36,70.0,77.0,1.0,4.92,US,06/27/20
271,buala,-8.14,159.59,81.05,81.0,100.0,8.03,SB,06/27/20
272,kuusamo,65.97,29.18,57.2,44.0,75.0,12.75,FI,06/27/20
273,lamar,33.67,-95.58,75.99,94.0,90.0,5.82,US,06/27/20
274,sola,-13.88,167.55,80.69,84.0,88.0,19.64,VU,06/27/20
275,raudeberg,61.99,5.14,80.6,44.0,0.0,9.17,NO,06/27/20
276,baruun-urt,46.68,113.28,71.35,51.0,45.0,0.45,MN,06/27/20
277,narwar,25.65,77.9,99.48,35.0,46.0,13.04,IN,06/27/20
278,isangel,-19.55,169.27,70.34,73.0,1.0,13.02,VU,06/27/20
279,korla,41.76,86.15,91.76,11.0,64.0,6.76,CN,06/27/20
280,katangli,51.71,143.23,44.33,93.0,94.0,7.34,RU,06/27/20
281,estelle,29.85,-90.11,81.0,94.0,1.0,4.7,US,06/27/20
282,dwarka,22.24,68.97,89.17,71.0,85.0,13.35,IN,06/27/20
283,acari,-15.43,-74.62,61.66,58.0,44.0,1.34,PE,06/27/20
284,vanimo,-2.67,141.3,80.53,81.0,99.0,7.45,PG,06/27/20
285,carauari,-4.88,-66.9,75.72,88.0,88.0,1.3,BR,06/27/20
286,sawtell,-30.38,153.1,59.0,72.0,90.0,6.93,AU,06/27/20
287,abonnema,4.71,6.79,78.8,88.0,75.0,5.82,NG,06/27/20
288,ekibastuz,51.67,75.37,65.16,68.0,74.0,11.32,KZ,06/27/20
289,cochrane,51.18,-114.47,51.01,93.0,90.0,8.14,CA,06/27/20
290,namatanai,-3.67,152.43,78.28,84.0,100.0,6.69,PG,06/27/20
291,agua prieta,31.3,-109.57,73.0,32.0,26.0,2.89,MX,06/27/20
292,pacific grove,36.62,-121.92,57.2,93.0,90.0,1.72,US,06/27/20
293,thinadhoo,0.53,72.93,85.26,71.0,79.0,9.26,MV,06/27/20
