,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,praya,14.92,-23.51,80.6,65.0,40.0,19.46,CV,06/27/20
295,beloha,-25.17,45.05,82.22,45.0,16.0,6.62,MG,06/27/20
296,smithers,54.78,-127.17,46.4,100.0,90.0,3.36,CA,06/27/20
297,bonavista,48.65,-53.11,55.87,94.0,100.0,4.68,CA,06/27/20
298,the valley,18.22,-63.06,84.2,74.0,20.0,16.11,AI,06/27/20
299,kimbe,-5.55,150.14,76.82,86.0,99.0,4.21,PG,06/27/20
300,qaanaaq,77.48,-69.36,41.58,69.0,0.0,1.43,GL,06/27/20
301,sao felix do xingu,-6.64,-51.99,78.46,66.0,27.0,2.15,BR,06/27/20
302,rabat,33.99,-6.84,73.4,60.0,0.0,5.82,MA,06/27/20
303,sitka,57.05,-135.33,51.8,93.0,90.0,4.7,US,06/27/20
304,morant bay,17.88,-76.41,82.4,69.0,40.0,8.05,JM,06/27/20
305,back mountain,41.34,-76.0,60.01,97.0,100.0,5.35,US,06/27/20
306,gimbi,9.17,35.83,69.03,85.0,52.0,2.66,ET,06/27/20
307,maturin,9.75,-63.18,77.65,88.0,26.0,6.71,VE,06/27/20
308,saint-pierre,-21.34,55.48,78.8,61.0,5.0,6.93,RE,06/27/20
309,manokwari,-0.87,134.08,81.54,70.0,97.0,2.77,ID,06/27/20
310,puyang,29.46,119.89,79.59,87.0,99.0,3.71,CN,06/27/20
311,beyneu,45.32,55.2,79.88,24.0,34.0,17.47,KZ,06/27/20
312,shingu,33.73,135.98,77.0,94.0,75.0,5.82,JP,06/27/20
313,nakhon phanom,17.41,104.78,91.4,63.0,20.0,3.36,TH,06/27/20
314,kutum,14.2,24.67,93.63,14.0,0.0,8.34,SD,06/27/20
315,san patricio,19.22,-104.7,76.12,76.0,77.0,3.13,MX,06/27/20
316,nalut,30.33,10.85,100.51,12.0,0.0,4.63,LY,06/27/20
317,san angelo,31.46,-100.44,73.99,79.0,70.0,13.69,US,06/27/20
318,santa barbara,34.42,-119.7,60.01,100.0,90.0,4.7,US,06/27/20
319,olga,43.74,135.29,54.19,93.0,100.0,5.75,RU,06/27/20
320,hofn,64.25,-15.21,50.0,87.0,90.0,6.93,IS,06/27/20
321,vagur,61.47,-6.81,53.11,97.0,47.0,15.19,FO,06/27/20
322,acapulco,16.86,-99.89,77.67,80.0,56.0,7.74,MX,06/27/20
323,los banos,14.17,121.18,86.0,70.0,75.0,6.93,PH,06/27/20
324,aykhal,66.0,111.5,73.4,43.0,75.0,4.47,RU,06/27/20
325,muhos,64.81,25.99,68.0,45.0,11.0,11.41,FI,06/27/20
326,taoudenni,22.68,-3.98,114.66,5.0,0.0,12.03,ML,06/27/20
327,humaita,-7.51,-63.02,77.76,72.0,5.0,1.79,BR,06/27/20
328,camacha,33.08,-16.33,71.6,83.0,75.0,14.99,PT,06/27/20
329,janauba,-15.8,-43.31,71.6,59.0,32.0,2.84,BR,06/27/20
330,meiktila,20.87,95.87,81.99,74.0,72.0,16.4,MM,06/27/20
331,valparaiso,-33.04,-71.63,42.8,87.0,91.0,1.12,CL,06/27/20
332,santa lucia,27.91,-15.54,75.2,57.0,40.0,28.86,ES,06/27/20
333,matara,5.95,80.54,83.19,77.0,68.0,12.53,LK,06/27/20
334,tura,25.52,90.22,76.53,95.0,98.0,8.52,IN,06/27/20
335,katsuura,35.13,140.3,77.0,77.0,100.0,3.0,JP,06/27/20
336,coihaique,-45.58,-72.07,26.6,79.0,90.0,4.7,CL,06/27/20
337,terrace,54.52,-128.6,48.09,83.0,89.0,1.68,CA,06/27/20
338,douentza,15.0,-2.95,105.28,19.0,59.0,11.61,ML,06/27/20
339,hasaki,35.73,140.83,75.0,100.0,75.0,5.82,JP,06/27/20
340,denpasar,-8.65,115.22,80.6,100.0,40.0,10.29,ID,06/27/20
341,petropavlovsk-kamchatskiy,53.05,158.65,57.2,87.0,99.0,6.71,RU,06/27/20
342,dakar,14.69,-17.44,84.2,70.0,20.0,11.56,SN,06/27/20
343,birjand,32.87,59.22,98.6,7.0,20.0,11.41,IR,06/27/20
344,karratha,-20.74,116.85,69.42,45.0,34.0,3.18,AU,06/27/20
345,mazamari,-11.33,-74.53,67.96,71.0,69.0,1.3,PE,06/27/20
346,martapura,-3.42,114.85,73.98,97.0,100.0,1.61,ID,06/27/20
347,bilma,18.69,12.92,103.24,7.0,7.0,8.37,NE,06/27/20
348,papetoai,-17.5,-149.87,75.2,73.0,75.0,11.41,PF,06/27/20
349,rio grande,-32.03,-52.1,42.8,93.0,89.0,7.38,BR,06/27/20
350,mecca,21.43,39.83,109.42,13.0,79.0,19.06,SA,06/27/20
351,chumikan,54.72,135.31,43.65,95.0,81.0,8.68,RU,06/27/20
352,udachnyy,66.42,112.4,73.4,43.0,75.0,4.47,RU,06/27/20
353,kaniama,-7.57,24.18,94.17,21.0,100.0,2.51,CD,06/27/20
354,ailigandi,9.23,-78.02,79.2,84.0,99.0,4.7,PA,06/27/20
355,altamont,42.21,-121.74,55.4,76.0,1.0,6.2,US,06/27/20
356,komsomolskiy,40.43,71.72,78.8,26.0,55.0,9.17,UZ,06/27/20
357,concepcion del oro,24.63,-101.42,60.04,77.0,100.0,2.04,MX,06/27/20
358,lujan,-34.57,-59.1,45.0,93.0,58.0,2.15,AR,06/27/20
359,kendal,54.33,-2.75,63.0,86.0,99.0,3.0,GB,06/27/20
360,kodinsk,58.69,99.18,79.95,47.0,70.0,3.62,RU,06/27/20
361,pangai,-19.8,-174.35,77.61,79.0,98.0,17.18,TO,06/27/20
362,chegdomyn,51.12,133.02,64.0,66.0,99.0,2.01,RU,06/27/20
363,dombarovskiy,50.76,59.54,62.4,43.0,84.0,12.64,RU,06/27/20
364,san jose,37.34,-121.89,62.6,82.0,40.0,1.41,US,06/27/20
365,chapleau,47.84,-83.4,59.0,100.0,75.0,2.24,CA,06/27/20
366,la mata,8.08,-80.88,74.97,92.0,98.0,3.4,PA,06/27/20
367,gannan,47.91,123.5,72.45,60.0,28.0,3.8,CN,06/27/20
368,paragominas,-2.97,-47.48,77.43,87.0,94.0,2.53,BR,06/27/20
369,vestmannaeyjar,63.44,-20.27,57.2,71.0,75.0,5.82,IS,06/27/20
370,chicama,-7.84,-79.15,63.12,83.0,39.0,4.61,PE,06/27/20
371,krasnoselkup,65.7,82.47,67.73,44.0,94.0,10.4,RU,06/27/20
372,polistena,38.41,16.08,84.99,70.0,0.0,1.01,IT,06/27/20
373,tazovskiy,67.47,78.7,59.81,55.0,82.0,19.42,RU,06/27/20
374,taksimo,56.34,114.88,71.01,55.0,45.0,3.2,RU,06/27/20
375,bahar,34.91,48.44,87.8,23.0,20.0,9.17,IR,06/27/20
376,evanston,42.04,-87.69,72.0,94.0,90.0,6.93,US,06/27/20
377,ust-maya,60.42,134.53,63.63,73.0,29.0,3.98,RU,06/27/20
378,zittau,50.9,14.83,82.0,56.0,9.0,5.01,DE,06/27/20
379,bandarbeyla,9.49,50.81,91.69,43.0,89.0,28.34,SO,06/27/20
380,korop,51.57,32.96,80.02,61.0,2.0,7.52,UA,06/27/20
381,portland,45.52,-122.68,63.0,77.0,90.0,6.93,US,06/27/20
382,san cristobal,7.77,-72.22,73.4,94.0,75.0,2.24,VE,06/27/20
383,marrakesh,31.63,-8.01,82.4,45.0,0.0,4.7,MA,06/27/20
384,ono,34.85,134.93,75.2,88.0,75.0,8.05,JP,06/27/20
385,morros,-9.45,-46.3,77.7,51.0,55.0,8.52,BR,06/27/20
386,paso de carrasco,-34.86,-56.05,41.0,93.0,74.0,5.82,UY,06/27/20
387,acarau,-2.89,-40.12,80.73,72.0,15.0,13.53,BR,06/27/20
388,macduff,57.67,-2.5,63.0,91.0,96.0,3.0,GB,06/27/20
389,grand gaube,-20.01,57.66,77.0,69.0,85.0,13.0,MU,06/27/20
390,jasper,37.2,-94.35,73.99,78.0,1.0,16.11,US,06/27/20
391,shache,38.42,77.24,93.15,11.0,0.0,11.21,CN,06/27/20
392,souillac,-20.52,57.52,71.6,94.0,75.0,10.29,MU,06/27/20
393,tarpon springs,28.15,-82.76,82.0,83.0,1.0,8.48,US,06/27/20
394,port hedland,-20.32,118.57,68.0,52.0,15.0,2.24,AU,06/27/20
395,havre-saint-pierre,50.23,-63.6,64.4,72.0,75.0,12.75,CA,06/27/20
396,yulara,-25.24,130.99,53.6,30.0,0.0,6.93,AU,06/27/20
397,sobolevo,54.43,31.9,78.22,65.0,21.0,10.2,RU,06/27/20
398,mahibadhoo,3.78,72.97,83.88,75.0,89.0,12.1,MV,06/27/20
399,vila franca do campo,37.72,-25.43,66.2,100.0,75.0,11.41,PT,06/27/20
400,qui nhon,13.77,109.23,82.78,78.0,88.0,13.4,VN,06/27/20
401,balingasay,16.36,119.86,85.66,71.0,96.0,6.73,PH,06/27/20
402,hobyo,5.35,48.53,83.23,65.0,99.0,26.73,SO,06/27/20
403,calama,-22.47,-68.93,39.2,23.0,0.0,23.04,CL,06/27/20
404,almaznyy,48.04,40.05,86.0,27.0,20.0,8.95,RU,06/27/20
405,keti bandar,24.14,67.45,90.73,68.0,27.0,20.11,PK,06/27/20
406,walvis bay,-22.96,14.51,66.2,55.0,0.0,6.93,NA,06/27/20
407,aquiraz,-3.9,-38.39,78.8,83.0,40.0,8.05,BR,06/27/20
408,huron,41.15,-82.55,71.01,86.0,99.0,7.0,US,06/27/20
409,anadyr,64.75,177.48,39.2,60.0,20.0,17.9,RU,06/27/20
410,san luis,-33.3,-66.34,38.37,72.0,1.0,1.86,AR,06/27/20
411,bireun,5.2,96.7,80.76,79.0,19.0,1.34,ID,06/27/20
412,mugur-aksy,50.35,90.5,63.03,43.0,82.0,2.84,RU,06/27/20
413,campo gobierno,24.65,-107.54,81.0,76.0,100.0,2.15,MX,06/27/20
414,marathon,44.9,-89.77,64.4,88.0,1.0,5.82,US,06/27/20
415,winthrop,42.38,-70.98,73.0,69.0,72.0,1.01,US,06/27/20
416,cotonou,6.37,2.42,82.4,78.0,40.0,11.41,BJ,06/27/20
417,comodoro rivadavia,-45.87,-67.5,28.4,74.0,0.0,9.17,AR,06/27/20
418,namibe,-15.2,12.15,73.4,73.0,40.0,11.41,AO,06/27/20
419,tara,56.89,74.37,50.04,96.0,100.0,14.07,RU,06/27/20
420,fairbanks,64.84,-147.72,51.8,81.0,1.0,5.82,US,06/27/20
421,cockburn town,21.46,-71.14,82.53,83.0,97.0,18.79,TC,06/27/20
422,pingzhuang,42.04,119.29,73.26,42.0,15.0,3.33,CN,06/27/20
423,dvinskoy,62.15,45.12,51.57,88.0,79.0,12.06,RU,06/27/20
424,dudinka,69.41,86.18,69.8,64.0,40.0,15.66,RU,06/27/20
425,lagoa,39.05,-27.98,66.38,96.0,94.0,14.43,PT,06/27/20
426,iquitos,-3.75,-73.25,72.86,97.0,100.0,0.83,PE,06/27/20
427,hay river,60.82,-115.8,51.8,81.0,75.0,4.7,CA,06/27/20
428,paita,-5.09,-81.11,63.68,86.0,44.0,11.83,PE,06/27/20
429,akureyri,65.68,-18.09,50.0,81.0,90.0,6.93,IS,06/27/20
430,taltal,-25.4,-70.48,58.37,54.0,67.0,2.64,CL,06/27/20
431,tomatlan,19.93,-105.25,74.73,79.0,85.0,2.98,MX,06/27/20
432,waipawa,-41.41,175.52,53.01,100.0,100.0,2.24,NZ,06/27/20
433,harwich,51.94,1.28,66.0,80.0,91.0,17.0,GB,06/27/20
434,kushima,31.46,131.23,75.2,83.0,90.0,13.87,JP,06/27/20
435,myatlevo,54.9,35.68,82.4,48.0,40.0,13.42,RU,06/27/20
436,port blair,11.67,92.75,83.05,79.0,100.0,11.86,IN,06/27/20
437,esil,51.96,66.4,64.08,42.0,98.0,16.93,KZ,06/27/20
438,college,64.86,-147.8,51.8,76.0,40.0,5.82,US,06/27/20
439,krasnovishersk,60.41,57.08,50.99,95.0,99.0,6.2,RU,06/27/20
440,haines junction,60.75,-137.51,42.22,76.0,22.0,2.15,CA,06/27/20
441,nayoro,44.35,142.46,57.07,93.0,100.0,2.62,JP,06/27/20
442,rosario do sul,-30.26,-54.91,44.56,76.0,54.0,9.98,BR,06/27/20
443,muzhi,65.37,64.67,53.15,59.0,95.0,14.97,RU,06/27/20
444,kudahuvadhoo,2.67,72.89,84.15,74.0,95.0,10.13,MV,06/27/20
445,paamiut,61.99,-49.67,39.04,93.0,100.0,3.67,GL,06/27/20
446,oyama,36.3,139.8,84.0,88.0,75.0,3.36,JP,06/27/20
447,kolchugino,56.3,39.38,81.05,46.0,2.0,13.44,RU,06/27/20
448,santa marta,11.24,-74.2,78.01,87.0,100.0,1.01,CO,06/27/20
449,caxito,-8.58,13.66,78.8,57.0,62.0,6.93,AO,06/27/20
450,katastarion,37.83,20.77,89.6,33.0,0.0,8.05,GR,06/27/20
451,mogadishu,2.04,45.34,82.4,65.0,75.0,19.46,SO,06/27/20
452,grand-santi,4.25,-54.38,77.41,88.0,35.0,2.73,GF,06/27/20
453,contamana,-7.33,-75.02,72.34,92.0,54.0,0.87,PE,06/27/20
454,boden,65.83,21.69,64.4,42.0,29.0,6.93,SE,06/27/20
455,port hueneme,34.15,-119.2,62.01,87.0,90.0,5.82,US,06/27/20
456,pangnirtung,66.15,-65.71,47.44,68.0,71.0,2.28,CA,06/27/20
457,guatire,10.48,-66.54,80.6,83.0,40.0,4.7,VE,06/27/20
458,constanza,47.66,9.18,78.01,57.0,9.0,2.24,DE,06/27/20
459,teya,60.38,92.63,82.26,33.0,99.0,4.56,RU,06/27/20
460,vasylivka,47.44,35.27,82.4,42.0,0.0,6.71,UA,06/27/20
461,misratah,32.38,15.09,84.99,43.0,0.0,15.66,LY,06/27/20
462,ambilobe,-13.2,49.05,86.29,45.0,0.0,1.66,MG,06/27/20
463,apac,1.98,32.54,84.58,50.0,12.0,0.85,UG,06/27/20
464,pochutla,15.74,-96.47,77.0,89.0,89.0,3.56,MX,06/27/20
465,oneonta,42.45,-75.06,61.0,83.0,100.0,5.12,US,06/27/20
466,mitchell,43.71,-98.03,66.2,93.0,1.0,5.12,US,06/27/20
467,moose factory,51.26,-80.61,55.4,100.0,1.0,3.36,CA,06/27/20
468,auki,-8.77,160.7,78.73,84.0,96.0,4.83,SB,06/27/20
469,progreso,21.28,-89.67,80.01,88.0,40.0,8.05,MX,06/27/20
470,shaunavon,49.65,-108.42,60.37,93.0,57.0,4.61,CA,06/27/20
471,ruteng,-8.61,120.47,62.51,100.0,83.0,1.74,ID,06/27/20
472,chuy,-33.7,-53.46,44.78,76.0,83.0,4.99,UY,06/27/20
473,soyo,-6.13,12.37,80.6,65.0,40.0,4.7,AO,06/27/20
474,ugoofaaru,5.67,73.0,83.73,77.0,93.0,15.75,MV,06/27/20
475,waingapu,-9.66,120.26,75.25,75.0,10.0,10.58,ID,06/27/20
476,kavieng,-2.57,150.8,82.02,80.0,100.0,13.67,PG,06/27/20
477,mount gambier,-37.83,140.77,44.6,93.0,22.0,4.7,AU,06/27/20
478,mabaruma,8.2,-59.78,79.47,90.0,56.0,4.43,GY,06/27/20
479,san rafael,-34.62,-68.33,40.5,69.0,90.0,10.33,AR,06/27/20
480,nacala,-14.54,40.67,82.26,60.0,10.0,7.99,MZ,06/27/20
481,marquard,-28.66,27.43,58.86,33.0,0.0,9.69,ZA,06/27/20
482,invermere,50.52,-116.04,53.1,76.0,47.0,3.06,CA,06/27/20
483,oktyabrskiy,54.48,53.47,69.19,79.0,98.0,13.67,RU,06/27/20
484,richards bay,-28.78,32.04,72.64,60.0,66.0,5.14,ZA,06/27/20
485,qandala,11.47,49.87,97.41,39.0,95.0,5.75,SO,06/27/20
486,chengde,40.97,117.94,75.02,50.0,40.0,3.04,CN,06/27/20
487,chaparral,3.72,-75.48,69.78,75.0,93.0,2.46,CO,06/27/20
488,gao,16.64,1.64,107.65,13.0,4.0,12.1,ML,06/27/20
489,rorvik,64.86,11.24,63.54,70.0,0.0,12.68,NO,06/27/20
490,snezhnogorsk,69.19,33.25,50.0,81.0,75.0,8.95,RU,06/27/20
491,nikel,69.41,30.22,48.2,76.0,75.0,17.22,RU,06/27/20
492,port hawkesbury,45.62,-61.35,66.2,77.0,1.0,2.24,CA,06/27/20
493,xiamen,24.48,118.08,87.8,70.0,20.0,8.95,CN,06/27/20
494,trairi,-3.28,-39.27,80.44,71.0,21.0,9.6,BR,06/27/20
495,saint-francois,46.42,3.91,77.0,53.0,90.0,3.36,FR,06/27/20
496,nanyang,32.99,112.53,75.15,79.0,100.0,11.68,CN,06/27/20
497,konevo,62.12,39.32,65.52,38.0,41.0,14.2,RU,06/27/20
498,verkhoyansk,67.54,133.38,78.67,37.0,70.0,4.85,RU,06/27/20
499,christchurch,-43.53,172.63,53.01,100.0,90.0,6.93,NZ,06/27/20
500,macau,22.2,113.55,87.8,79.0,20.0,11.41,MO,06/27/20
501,santa isabel do rio negro,-0.41,-65.02,75.07,94.0,48.0,1.57,BR,06/27/20
502,nantucket,41.28,-70.1,68.0,93.0,1.0,6.93,US,06/27/20
503,samarai,-10.62,150.67,78.78,83.0,76.0,18.32,PG,06/27/20
504,natal,-5.79,-35.21,75.2,88.0,75.0,8.05,BR,06/27/20
505,okakarara,-20.58,17.43,74.25,17.0,0.0,6.22,NA,06/27/20
506,sibolga,1.74,98.78,79.32,77.0,77.0,2.15,ID,06/27/20
507,diffa,13.32,12.61,102.56,21.0,2.0,4.79,NE,06/27/20
508,talas,38.69,35.55,75.2,44.0,40.0,4.7,TR,06/27/20
509,husavik,66.04,-17.34,50.0,81.0,90.0,6.93,IS,06/27/20
510,yeppoon,-23.13,150.73,66.2,72.0,75.0,6.93,AU,06/27/20
511,along,28.17,94.77,73.69,90.0,100.0,1.88,IN,06/27/20
512,muros,42.78,-9.06,63.0,93.0,93.0,13.0,ES,06/27/20
513,shostka,51.86,33.47,79.23,63.0,11.0,7.11,UA,06/27/20
514,kalabo,-14.97,22.68,83.95,23.0,0.0,5.37,ZM,06/27/20
515,hatillo,18.49,-66.83,79.0,87.0,30.0,1.01,PR,06/27/20
516,yenagoa,4.92,6.26,82.22,82.0,73.0,8.28,NG,06/27/20
517,agadez,19.75,10.25,101.32,9.0,3.0,11.72,NE,06/27/20
518,dicabisagan,17.08,122.42,81.82,79.0,91.0,4.63,PH,06/27/20
519,kamaishi,39.27,141.88,73.4,78.0,75.0,8.05,JP,06/27/20
520,turukhansk,65.82,87.98,74.53,65.0,64.0,6.02,RU,06/27/20
521,ishinomaki,38.42,141.3,77.0,65.0,75.0,4.7,JP,06/27/20
522,tongliao,43.61,122.27,73.89,50.0,68.0,4.12,CN,06/27/20
523,ambunti,-4.24,142.84,76.03,90.0,91.0,2.44,PG,06/27/20
524,usinsk,65.99,57.53,49.06,58.0,98.0,10.42,RU,06/27/20
525,totness,5.88,-56.32,78.76,84.0,15.0,9.64,SR,06/27/20
526,ketchikan,55.34,-131.65,53.6,87.0,90.0,5.82,US,06/27/20
527,oum hadjer,13.3,19.7,100.06,24.0,6.0,7.18,TD,06/27/20
528,port-gentil,-0.72,8.78,80.6,74.0,40.0,12.75,GA,06/27/20
529,orshanka,56.92,47.89,77.43,56.0,92.0,14.29,RU,06/27/20
530,lyskovo,56.03,45.04,77.47,66.0,7.0,16.35,RU,06/27/20
531,ouahigouya,13.58,-2.42,101.73,24.0,72.0,12.01,BF,06/27/20
532,severomuysk,56.15,113.43,62.13,60.0,85.0,1.45,RU,06/27/20
533,sao joao da barra,-21.64,-41.05,69.8,94.0,5.0,4.7,BR,06/27/20
534,ballina,-28.87,153.57,57.2,93.0,75.0,6.93,AU,06/27/20
535,nambour,-26.63,152.95,57.99,92.0,1.0,1.01,AU,06/27/20
536,pasni,25.26,63.47,86.13,80.0,0.0,22.1,PK,06/27/20
537,chalmette,29.94,-89.96,81.0,94.0,1.0,4.7,US,06/27/20
538,sassandra,4.95,-6.08,79.39,78.0,88.0,12.37,CI,06/27/20
539,nyaunglebin,17.95,96.73,76.87,93.0,100.0,3.24,MM,06/27/20
540,nkan,0.38,9.78,80.6,74.0,20.0,9.17,GA,06/27/20
541,kokopo,-4.35,152.26,76.42,90.0,100.0,8.1,PG,06/27/20
542,bollnas,61.35,16.39,81.14,40.0,64.0,8.93,SE,06/27/20
543,luderitz,-26.65,15.16,68.0,40.0,0.0,12.75,NA,06/27/20
544,santiago,-33.46,-70.65,37.4,86.0,100.0,1.12,CL,06/27/20
545,faya,18.39,42.45,89.6,14.0,40.0,14.99,SA,06/27/20
546,helong,42.54,129.0,60.06,87.0,100.0,2.62,CN,06/27/20
547,lincoln,40.8,-96.67,71.01,83.0,20.0,8.05,US,06/27/20
548,itoman,26.12,127.67,84.2,94.0,40.0,11.41,JP,06/27/20
549,ternate,0.8,127.4,80.33,79.0,59.0,3.4,ID,06/27/20
550,aden,12.78,45.04,88.99,67.0,71.0,7.87,YE,06/27/20
551,bakaly,55.18,53.8,69.28,76.0,100.0,10.11,RU,06/27/20
552,puerto ayacucho,5.66,-67.62,78.8,88.0,40.0,3.36,VE,06/27/20
553,san lawrenz,36.06,14.2,82.0,65.0,20.0,16.11,MT,06/27/20
554,north battleford,52.78,-108.28,59.0,100.0,90.0,3.36,CA,06/27/20
555,coari,-4.08,-63.14,78.64,76.0,23.0,0.96,BR,06/27/20
556,ubata,-14.21,-39.52,70.7,94.0,99.0,0.98,BR,06/27/20
557,san antonio,29.42,-98.49,78.8,100.0,90.0,5.82,US,06/27/20
558,goulburn,-34.75,149.72,37.0,84.0,100.0,4.23,AU,06/27/20
559,olafsvik,64.89,-23.71,51.66,78.0,95.0,14.54,IS,06/27/20
560,san policarpo,12.18,125.51,81.1,82.0,100.0,13.38,PH,06/27/20
561,peleduy,59.63,112.74,64.92,81.0,76.0,3.53,RU,06/27/20
562,xining,36.62,101.77,69.17,27.0,84.0,8.52,CN,06/27/20
563,shitanjing,39.23,106.34,77.05,36.0,87.0,10.58,CN,06/27/20
564,mokhotlong,-29.29,29.07,53.31,35.0,0.0,7.11,LS,06/27/20
565,talaya,61.38,152.75,61.09,71.0,71.0,2.39,RU,06/27/20
566,hovd,48.01,91.64,77.63,20.0,5.0,4.05,MN,06/27/20
567,chebenki,51.93,55.71,73.4,40.0,40.0,17.9,RU,06/27/20
568,amapa,1.0,-52.0,77.25,90.0,18.0,2.21,BR,06/27/20
569,chopovychi,50.83,28.95,79.12,55.0,41.0,10.45,UA,06/27/20
570,hornepayne,49.21,-84.77,58.15,97.0,80.0,7.65,CA,06/27/20
571,guiyang,26.58,106.72,78.8,74.0,75.0,13.42,CN,06/27/20
572,barreirinhas,-2.75,-42.83,79.79,75.0,31.0,7.43,BR,06/27/20
573,tanete,-3.94,119.78,73.44,86.0,85.0,3.47,ID,06/27/20
574,ankang,32.68,109.02,66.99,46.0,100.0,5.99,CN,06/27/20
575,kaduy,59.2,37.15,64.4,100.0,40.0,8.95,RU,06/27/20
576,poum,-20.23,164.02,71.17,61.0,46.0,8.34,NC,06/27/20
577,henties bay,-22.12,14.28,55.0,89.0,0.0,3.0,NA,06/27/20
578,chimbote,-9.09,-78.58,62.89,84.0,95.0,5.44,PE,06/27/20
579,ixtapa,20.7,-105.2,77.0,95.0,74.0,2.8,MX,06/27/20
580,swidnica,50.84,16.49,81.0,54.0,8.0,8.77,PL,06/27/20
581,daru,-9.08,143.21,77.88,86.0,99.0,18.95,PG,06/27/20
582,melchor de mencos,17.07,-89.15,75.99,87.0,40.0,1.99,GT,06/27/20
583,graaff-reinet,-32.25,24.53,66.0,25.0,0.0,18.99,ZA,06/27/20
584,altay,47.87,88.12,83.32,17.0,63.0,1.07,CN,06/27/20
585,abha,18.22,42.51,89.6,14.0,40.0,14.99,SA,06/27/20
586,shenjiamen,29.96,122.3,75.65,95.0,98.0,5.01,CN,06/27/20
587,ambulu,-8.35,113.61,75.69,86.0,16.0,5.32,ID,06/27/20
588,maniitsoq,65.42,-52.9,39.24,93.0,98.0,0.85,GL,06/27/20
